2001|09172801, 09104402
2002|09046002, 09040802
2003|06017801, 07072305
2004|05226601, 06525002, 06532802, 07081703, 06610702, 07027901
2005|06779703, 06699406
2006|04164103, 06582502, 06524303, 06613302, 06758011
2007|03025002, 06573402
2008|06528101, 06651601, 09009002
2009|03005001, 06574702
2010|09008312, 07086214
2011|06032201, 06661401
2012|05230403, 06595608
2013|05050402, 05193902
2014|06758501, 09278001
2015|06650902, 09006102
2016|03029606, 04117904
2017|03035302, 06701420
2018|07037806, 07044605
2019|06584801, 06559501
2020|06750806, 06606001, 07036501, 06768601
2021|06750805, 06667701
2022|07029401, 07041805
2023|06034904, 08031101
2024|06522901, 06639001, 06772801, 06676501
2025|06522902, 05233402, 06639002
2026|04021705, 04148001
2027|07027401, 08043901
2028|06647903, 06775708, 06666101, 06608402
2029|09076901, 07050801
2030|05160902, 05198902
2031|03022803, 06678601
2032|03009801, 07051406
2033|06037101, 09211104
2034|06623502, 06775704
2035|09310301, 06640001, 06585301, 06771901, 08030703
2036|06659901, 06764301, 06677401, 06610001
2037|05121906, 06662101, 08005001, 07028701, 10009501
2038|06762704, 07084404
2039|09232203, 09195903
2040|05040402, 07086904
2041|04061201, 04065201, 04155501, 05008601
2042|09202501, 07091404, 09046401
2043|06504201, 08026501, 07114701
2044|09027502, 06664902, 07027802, 07025102
2045|06040101, 06046401
2046|05231201, 06662801, 09088101, 07039101
2047|05229701, 06004501, 06004801, 09018003
2048|07048801, 06654501, 06556101
2049|05229801, 06034601
2050|09287201, 09171601
2051|03043001, 05188101
2052|03028801, 06011501, 06663901
2053|06525901, 05233001, 07081301, 07108101
2054|09304201, 06645101
2055|05177406, 06768901
2056|06533003, 06639702, 07038002
2057|06593401, 09256002
2058|05001001, 07062404, 10005701
2059|05026901, 09303601, 07023708
2060|04086107, 06043001, 07060902, 05088501
2061|06054001, 06504001
2062|03024805, 07000503, 09278205
2063|06774001, 06767303
2064|09300501, 06620501
2065|07000502, 08002802
2066|04157401, 07035301
2067|07022801, 09278101
2068|05226801, 06677913
2069|04114114, 06591201
2070|05052305, 05203501, 05203601, 05203701, 05204201
2071|04015105, 04016207, 04164201
2072|03042702, 09255001
2073|07038402, 06784102, 07072402
2074|04164402, 07043502
2075|06590502, 06658702, 07042702, 09035502
2076|03009601, 03047401
2077|04163802, 07063002, 09014303
2078|07038403, 06784103, 07072403
2079|06590503, 06658703, 07042703
2080|09310202, 04018708, 06705401
2081|05184404, 05122002
2082|06533202, 07046201
2083|03051002, 07076404
2084|06646201, 09024302
2085|07082101, 07031601
2086|03033402, 07055803, 09295603
2087|09029301, 05088701
2088|09029302, 05088702
2089|06719701, 06659701, 06739802, 07037802
2090|06526902, 06019308, 09168510
2091|06529501, 07032707
2092|06041105, 06041301
2093|07032701, 09106508
2094|03060002, 05235703
2095|07126902, 07126203, 09130202
2096|06588605, 06624901
2097|06692701, 06745601, 07028703
2098|07032404, 06017001
2099|04005010, 06766503
2100|03034401, 06740304, 09114506, 06770403
2101|06538001, 10017102
2102|06638901, 07030301
2103|06009101, 06684901, 07030202
2104|06757602, 08013501, 07030601
2105|05230609, 05072203, 05231406, 06708309, 07027202
2106|04112604, 05009504
2107|04108101, 05171801
2108|05224401, 06010801, 07075101
2109|04108104, 05171804
2110|06677001, 06715501
2111|04163502, 06780702
2112|06009104, 07072604
2113|09043402, 09129903
2114|04016101, 06651602, 07032909
2115|07082104, 07078303
2116|05059004, 07082103, 07031604, 07078302
2117|06541603, 06657203
2118|05225402, 06739201
2119|06554602, 06749502
2120|06554601, 06749501
2121|06586403, 06638703
2122|09068705, 07066207
2123|05196001, 06516608, 07033405, 07028101
2124|06009105, 07072603
2125|07062202, 07095103, 09148102
2126|03029401, 06773908
2127|05145006, 05002601, 06771803, 07029702
2128|04163501, 06780701
2129|09081101, 07089601
2130|05229301, 06559401, 07032102, 07032002
2131|03036207, 04164302
2132|09303002, 06595601
2133|07054801, 06018303, 09120301
2134|06668001, 06016103
2135|04147201, 07046101
2136|04064701, 07031704
2137|04153904, 04082904
2138|05104502, 07017603, 08051401, 07047502
2139|07108706, 05168211
2140|04143408, 06694701
2141|07060401, 06677202, 06716102, 06736803, 07033402
2142|03029504, 05228201
2143|09296201, 07030302
2144|
2145|08011207, 06705002
2146|09061202, 06577503
2147|05002304, 06626903
2148|04057702, 05239903
2149|06554203, 05045103
2150|05070406, 08044002
2151|06766702, 07011004
2152|09257904, 06769802
2153|06679701, 07037301
2154|05172801, 07077208
2155|03036203, 06524403, 04066201, 06741301
2156|06034902, 06766901, 06737702
2157|04061301, 09289601, 07035604
2158|07033503, 05231702, 06750804
2159|07084705, 07072805
2160|04163602, 05013109, 07094804
2161|03017402, 09298702
2162|08027801, 08021401, 08021301
2163|06721801, 04059103, 05162001, 05238401, 06744601, 07056401
2164|06557701, 06546901, 07031201, 05238301, 06643501, 07086001
2165|04153802, 08021606
2166|06554402, 07074303
2167|08021505, 06767304
2168|06696704, 09013403
2169|03029502, 05228206
2170|05188801, 06596502
2171|06744605, 07056404
2172|04059901, 04158501
2173|06554902, 06704101
2174|09046001, 09040801
2175|07038401, 06784101, 07072401
2176|06590501, 06658701, 07042701
2177|04163801, 07063001, 09014302
2178|07033502, 05231701, 06750803
2179|07084701, 05088707
2180|04163603, 05136401, 06627401, 05013106, 08027301
2181|09046003, 09040803
2182|05047206, 06662102, 07028705, 06550502, 07034804, 06633001, 06583502
2183|06662401, 06773604
2184|06680602, 10009703
2185|03009910, 05099202, 06707801
2186|07026705, 06705601, 05231801, 07055902, 07031401
2187|04160703, 06552501
2188|07027404, 06773302
2189|04163601, 06627403
2190|05101201, 05208201
2191|04139702, 07096502
2192|05231203, 07039108
2193|06582601, 06612501
2194|04023402, 06525001, 06532801, 06610701, 07072501
2195|07117801, 07083101
2196|04063801, 09014602
2197|06595602, 06737705, 06611902
2198|06547201, 06674901, 07029706
2199|04076902, 08005902
2200|06763303, 07065602, 10008901
2201|07057611, 07031701
2202|06679402, 06766803
2203|09165101, 06678503
2204|07081903, 10012301, 08023003
2205|04064202, 04145801
2206|06676901, 06022205
2207|06528501, 09060901
2208|04164405, 06605502
2209|04164404, 06605501, 09022001
2210|04163804, 07063004
2211|04016205, 08067009, 07042805
2212|05147901, 06587302, 06022903
2213|05044203, 06006803
2214|07026701, 07029203
2215|06011601, 09167301
2216|06673204, 07092601, 06770201
2217|09008301, 07086201
2218|03009802, 07051407
2219|03009602, 03047402
2220|05094401, 06720801
2221|06556001, 06567901, 06596501
2222|06632101, 06544906, 07042808
2223|06634002, 06585403
2224|07077201, 07034902
2225|07090102, 06590901
2226|05231403, 06644002
2227|06514903, 09102303, 09062302
2228|05026202, 05218802
2229|05231608, 07028704
2230|05116601, 06680502
2231|09173703, 06782803
2232|05145501, 07080201, 09068203, 06763102, 07087404, 06576201
2233|06012701, 07085102
2234|04152602, 04152702
2235|05140304, 05013103, 04066206
2236|05162005, 07050211
2237|06636501, 06772802, 07055901
2238|06043901, 06771702
2239|06041801, 06033201, 06036001, 06680201, 08022201
2240|03018601, 04060201
2241|03004701, 07060901
2242|07082111, 07031612
2243|07082108, 07031609
2244|07027402, 08043902
2245|06751005, 07028002
2246|06722204, 04043812
2247|04059601, 05199301
2248|05177101, 05201401
2249|04043810, 05202401
2250|07038207, 06618308
2251|04001104, 05230608, 07026801, 07049502
2252|09303201, 07062301
2253|06739801, 07037801
2254|07008904, 06681703
2255|10003002, 05200702
2256|06567902, 07044604
2257|09147502, 08006002
2258|05236202, 09009702
2259|06570502, 09091802
2260|06574902, 07075904
2261|06746502, 07048302
2262|05172803, 07077210
2263|07034601, 07030303, 07027904
2264|07088901, 09004801
2265|07022803, 09278103
2266|05232507, 09281202
2267|09068710, 07066211
2268|07027804, 09027504
2269|06744607, 06699102
2270|
2271|07056503, 07055203
2272|05168206, 09260201
2273|04083109, 05145008, 09018903, 04071103
2274|06710215, 06594602
